CMDLINE C:\Users\bhewl\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\python.exe main.py
MEM 142.964844 1635993619.2521
MEM 142.964844 1635993619.3618
MEM 142.964844 1635993619.4696
MEM 142.968750 1635993619.5792
MEM 142.996094 1635993619.6889
MEM 142.996094 1635993619.8007
MEM 143.058594 1635993619.9103
MEM 143.121094 1635993620.0201
MEM 143.121094 1635993620.1318
MEM 143.121094 1635993620.2415
MEM 143.121094 1635993620.3532
MEM 143.121094 1635993620.4649
MEM 143.136719 1635993620.5756
MEM 142.890625 1635993620.6869
MEM 142.890625 1635993620.7980
MEM 142.890625 1635993620.9096
MEM 142.890625 1635993621.0213
MEM 142.890625 1635993621.1330
MEM 142.890625 1635993621.2447
MEM 142.890625 1635993621.3565
MEM 142.890625 1635993621.4681
MEM 142.890625 1635993621.5799
MEM 142.765625 1635993621.6916
MEM 142.765625 1635993621.8013
MEM 142.765625 1635993621.9129
MEM 142.765625 1635993622.0247
MEM 142.765625 1635993622.1344
MEM 142.789062 1635993622.2431
MEM 142.789062 1635993622.3548
MEM 142.789062 1635993622.4655
MEM 142.789062 1635993622.5772
MEM 142.789062 1635993622.6869
MEM 142.804688 1635993622.7956
MEM 142.820312 1635993622.9033
MEM 142.839844 1635993623.0140
MEM 142.898438 1635993623.1257
MEM 142.992188 1635993623.2364
MEM 142.996094 1635993623.3481
MEM 142.996094 1635993623.4598
MEM 142.996094 1635993623.5685
MEM 142.996094 1635993623.6772
MEM 142.996094 1635993623.7889
MEM 142.996094 1635993623.9007
MEM 142.996094 1635993624.0123
MEM 142.996094 1635993624.1231
MEM 142.996094 1635993624.2338
MEM 142.996094 1635993624.3445
MEM 142.996094 1635993624.4551
MEM 142.996094 1635993624.5658
MEM 142.996094 1635993624.6756
MEM 143.003906 1635993624.7864
MEM 143.019531 1635993624.8971
MEM 143.019531 1635993625.0078
MEM 143.019531 1635993625.1185
MEM 143.019531 1635993625.2292
MEM 143.082031 1635993625.3389
MEM 143.144531 1635993625.4466
MEM 143.144531 1635993625.5583
MEM 143.144531 1635993625.6680
MEM 143.144531 1635993625.7757
MEM 143.144531 1635993625.8835
MEM 143.144531 1635993625.9953
MEM 143.144531 1635993626.1050
MEM 143.144531 1635993626.2167
MEM 143.144531 1635993626.3284
MEM 143.144531 1635993626.4391
MEM 143.144531 1635993626.5498
MEM 143.144531 1635993626.6605
MEM 143.144531 1635993626.7722
MEM 143.144531 1635993626.8839
MEM 143.144531 1635993626.9956
MEM 143.144531 1635993627.1043
MEM 143.144531 1635993627.2130
MEM 143.144531 1635993627.3207
MEM 143.144531 1635993627.4285
MEM 143.148438 1635993627.5382
MEM 143.148438 1635993627.6499
MEM 143.148438 1635993627.7616
MEM 143.148438 1635993627.8723
MEM 143.140625 1635993627.9810
MEM 143.140625 1635993628.0907
MEM 143.140625 1635993628.2014
MEM 143.160156 1635993628.3101
MEM 143.171875 1635993628.4178
MEM 143.171875 1635993628.5276
MEM 143.171875 1635993628.6384
MEM 143.171875 1635993628.7500
MEM 143.171875 1635993628.8617
MEM 143.171875 1635993628.9695
MEM 143.171875 1635993629.0812
MEM 143.171875 1635993629.1919
MEM 143.171875 1635993629.3026
MEM 143.171875 1635993629.4143
MEM 143.109375 1635993629.5221
MEM 143.109375 1635993629.6339
MEM 143.109375 1635993629.7434
MEM 143.109375 1635993629.8511
MEM 143.109375 1635993629.9614
MEM 143.109375 1635993630.0711
MEM 143.109375 1635993630.1828
MEM 143.109375 1635993630.2936
MEM 143.109375 1635993630.4054
MEM 143.109375 1635993630.5170
MEM 143.109375 1635993630.6288
MEM 143.109375 1635993630.7405
MEM 143.109375 1635993630.8512
MEM 143.109375 1635993630.9619
MEM 143.109375 1635993631.0736
MEM 143.109375 1635993631.1853
MEM 143.117188 1635993631.2970
MEM 143.125000 1635993631.4085
MEM 143.125000 1635993631.5199
MEM 143.125000 1635993631.6316
MEM 143.125000 1635993631.7413
MEM 143.125000 1635993631.8530
MEM 143.125000 1635993631.9607
MEM 143.125000 1635993632.0724
MEM 143.125000 1635993632.1832
